"label","source_type","language","author","title","abstract","keywords","url","year","publisher","date_generated","source","volume","issue","start_page","end_page","doi","issn","accession_zr","place_published","edition","filename","n_duplicates","citation","screened_titles","notes","m3","pi","zz","cp","a1","screened_abstracts"
"ref_032","JOUR","en","Halley, John M. and Sgardeli, Vasiliki and Triantis, Kostas A.","Extinction debt and the species-area relationship: a neutral perspective ; Extinction debt and species-area relationships",NA,"Ecology ; Ecology, Evolution, Behavior and Systematics ; Global and Planetary Change","http://dx.doi.org/10.1111/geb.12098",2013,"Wiley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lit_data/01_final_lit_search/lit_search_base_part1.ris",1,"Halley, John M. et al. (2013) Extinction Debt and the Species-Area Relationship: a Neutral Perspective ; Extinction Debt and Species-Area Relationships. <i>Jour</i>. ","selected",NA,NA,NA,NA,NA,NA,"excluded"
"ref_033","JOUR","en","Hanski, Ilkka","Extinction debt at different spatial scales ; Extinction debt and spatial scale",NA,"Nature and Landscape Conservation ; Ecology","http://dx.doi.org/10.1111/acv.12024",2013,"Wiley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lit_data/01_final_lit_search/lit_search_base_part1.ris",1,"Hanski, Ilkka (2013) Extinction Debt at Different Spatial Scales ; Extinction Debt and Spatial Scale. <i>Jour</i>. ","selected",NA,NA,NA,NA,NA,NA,"excluded"
"ref_034","JOUR","eng","Semper Pascual, Asunción and Macchi, Leandro and Sabatini, Francesco Maria and Decarre, Julieta and Baumann, Matthias and Blendinger, Pedro Gerardo and Gomez Valencia, Bibiana and Mastrangelo, Matias Enrique and Kuemmerle, Tobias","Mapping extinction debt highlights conservation opportunities for birds and mammals in the South American Chaco","Habitat loss is the primary cause of local extinctions. Yet, there is considerable uncertainty regarding how fast species respond to habitat loss, and how time-delayed responses vary in space. We focused on the Argentine Dry Chaco (c. 32 million ha), a global deforestation hotspot, and tested for time-delayed response of bird and mammal communities to landscape transformation. We quantified the magnitude of extinction debt by modelling contemporary species richness as a function of either contemporary or past (2000 and 1985) landscape patterns. We then used these models to map communities' extinction debt. We found strong evidence for an extinction debt: landscape structure from 2000 explained contemporary species richness of birds and mammals better than contemporary and 1985 landscapes. This suggests time-delayed responses between 10 and 25 years. Extinction debt was especially strong for forest specialists. Projecting our models across the Chaco highlighted areas where future local extinctions due to unpaid extinction debt are likely. Areas recently converted to agriculture had highest extinction debt, regardless of the post-conversion land use. Few local extinctions were predicted in areas with remaining larger forest patches. Synthesis and applications. The evidence for an unpaid extinction debt in the Argentine Dry Chaco provides a substantial window of opportunity for averting local biodiversity losses. However, this window may close rapidly if conservation activities such as habitat restoration are not implemented swiftly. Our extinction debt maps highlight areas where such conservation activities should be implemented. ; Fil: Semper Pascual, Asunción. Universität zu Berlin; Alemania ; Fil: Macchi, Leandro. Universidad Nacional de Tucumán. Instituto de Ecología Regional. Consejo Nacional de Investigaciones Científicas y Técnicas. Centro Científico Tecnológico Conicet - Tucumán. Instituto de Ecología Regional; Argentina. Universität zu Berlin; Alemania ; Fil: Sabatini, Francesco Maria. Universität zu Berlin; Alemania ; Fil: Decarre, Julieta. Instituto Nacional de Tecnología Agropecuaria. Centro de Investigación de Recursos Naturales. Instituto de Recursos Biológicos; Argentina ; Fil: Baumann, Matthias. Universität zu Berlin; Alemania ; Fil: Blendinger, Pedro Gerardo. Universidad Nacional de Tucumán. Instituto de Ecología Regional. Consejo Nacional de Investigaciones Científicas y Técnicas. Centro Científico Tecnológico Conicet - Tucumán. Instituto de Ecología Regional; Argentina ; Fil: Gomez Valencia, Bibiana. Universidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales; Argentina ; Fil: Mastrangelo, Matias Enrique. Consejo Nacional de Investigaciones Científicas y Técnicas. Centro Científico Tecnológico Conicet - Mar del Plata; Argentina. Universidad Nacional de Mar del Plata; Argentina ; Fil: Kuemmerle, Tobias. Universität zu Berlin; Alemania","AGRICULTURAL EXPANSION ; BIODIVERSITY LOSS ; DEFORESTATION ; EXTINCTION DEBT ; GRAN CHACO ; HABITAT LOSS ; LANDSCAPE TRANSFORMATION ; RESTORATION ; TIME-DELAYED RESPONSES ; TROPICAL DRY FOREST ; Ecología ; Ciencias Biológicas ; CIENCIAS NATURALES Y EXACTAS","http://hdl.handle.net/11336/90422",2018,"Wiley Blackwell Publishing, Inc","2018 MAY","JOURNAL OF APPLIED ECOLOGY",55,"3","1218","1229","10.1111/1365-2664.13074","0021-8901 and 1365-2664","WOS:000430059500018","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Semper Pascual, Asunción et al. (2018) Mapping Extinction Debt Highlights Conservation Opportunities for Birds and Mammals in the South American Chaco. <i>Jour</i>. ","selected",NA,"Article","HOBOKEN",NA,NA,NA,"selected"
"ref_035","JOUR","EN","Hugueny, Bernard","Age-area scaling of extinction debt within isolated terrestrial vertebrate assemblages","A new model of delayed species loss (extinction debt) within isolated communities is applied to a large data set of terrestrial vertebrate assemblages (n = 188) occupying habitat fragments or islands varying greatly in size and age. The model encapsulates previous approaches based on diversity-dependent (DD) extinction rates while allowing for a more flexible treatment of temporal dynamics. Three important results emerge. First, species loss rate slows down with the age of the isolate, a strong and general pattern largely unnoticed so far. Secondly, while being good candidates in the light of previous works, DD models fail to account for this pattern, a result that necessitates a search for other mechanisms. Thirdly, a simple diversity-independent model based on area (converted into population size) and age explains 97% of the variability in species loss rate and appears to be a promising predictive tool to handle extinction debt following habitat loss.","Amphibians ; birds ; conservation biology ; diversity dependence ; habitat fragmentation ; insular biogeography ; mammals ; relaxation ; reptiles","http://www.documentation.ird.fr/hor/fdi:010069501",2017,"WILEY","2017 MAY","ECOLOGY LETTERS",20,"5","591","598","10.1111/ele.12756","1461-023X and 1461-0248","WOS:000399361500003","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Hugueny, Bernard (2017) Age-Area Scaling of Extinction Debt Within Isolated Terrestrial Vertebrate Assemblages. <i>Jour</i>. ","selected",NA,"Article","HOBOKEN",NA,NA,NA,"selected"
"ref_036","THES","eng","THES","Antibiotic-induced extinction debt in a bacterial community","Imperial Users only",NA,"http://hdl.handle.net/10044/1/42084",2016,"Imperial College London ; Department of Life Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lit_data/01_final_lit_search/lit_search_base_part1.ris",1,"THES (2016) Antibiotic-Induced Extinction Debt in a Bacterial Community. <i>Thes</i>. ","selected",NA,NA,NA,NA,NA,NA,"excluded"
"ref_037","JOUR","en","Piessens, Katrien and Hermy, Martin","Does the heathland flora of north-western Belgium show an extinction debt?","The large losses of heathland area since the end of the 18th century can be expected to have resulted in the decline or even extinction of many characteristic heathland species. Historical data on plant species distribution patterns can provide valuable information in this context. Therefore, the aims of this research are to study how the loss of heathland area has changed the presence of heathland and forest plant species in north-western Belgium using historical plant distribution data, and to test whether the heathland flora shows an extinction debt. Furthermore, plant traits determining extinction sensitivity are investigated.Our results revealed that, despite the dramatic reduction of heathland area (more than 99% of heathland was destroyed over a 230-year period), the loss of heathland species is relatively limited (11%) and is comparable with that of forest species (11%). Heathland species that have a long-term persistent seed bank or can propagate vegetatively are least sensitive to extinction. For forest species, on the other hand, growth form is the key determinant for extinction sensitivity. Long-lived woody species have a greater chance of persisting.The relatively low extinction numbers probably represent an extinction debt and the full effects of habitat loss may not have been fully manifested yet. Consequently, future extinctions are expected to occur unless environmental conditions are improved. Therefore, heathland restoration and prevention of further heathland area losses is required. (c) 2006 Elsevier Ltd. All rights reserved.",NA,"https://lirias.kuleuven.be/handle/123456789/145063",2006,"Applied Science Publishers","2006 OCT","BIOLOGICAL CONSERVATION",132,"3","382","394","10.1016/j.biocon.2006.04.032","0006-3207 and 1873-2917","WOS:000240794500011","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",2,"Piessens, Katrien et al. (2006) Does the Heathland Flora of North-Western Belgium Show an Extinction Debt? <i>Jour</i>. ","selected",NA,"Article","OXFORD",NA,NA,NA,"selected"
"ref_038","CONF",NA,"Isabel Jones and Nils Bunnefeld and Alistair S. Jump and Carlos A. Peres and CONF","Extinction debt on reservoir land-bridge islands: Association of Tropical Biology & Conservation conference presentation 2016",NA,NA,"https://doi.org/10.13140/RG.2.2.31137.20324",2016,"Unpublished",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lit_data/01_final_lit_search/lit_search_base_part1.ris",1,"Isabel Jones et al. (2016) Extinction Debt on Reservoir Land-Bridge Islands: Association of Tropical Biology & Conservation Conference Presentation 2016. <i>Conf</i>. ","selected",NA,NA,NA,NA,NA,NA,"excluded"
"ref_039","GEN",NA,"GEN","Faculty Opinions recommendation of Characterising extinction debt following habitat fragmentation using neutral theory",NA,NA,"http://dx.doi.org/10.3410/f.736760552.793576528",2020,"Faculty Opinions Ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lit_data/01_final_lit_search/lit_search_base_part1.ris",1,"GEN (2020) Faculty Opinions Recommendation of Characterising Extinction Debt Following Habitat Fragmentation using Neutral Theory. <i>Gen</i>. ","selected",NA,NA,NA,NA,NA,NA,"selected"
"ref_040","JOUR","en","Chen, Ling-ling and Hui, Cang","Habitat destruction and the extinction debt revisited: The Allee effect","Habitat destruction. often caused by anthropogenic disturbance, can lead to the extinction of species at an unprecedented rate. It is important, therefore, to consider habitat destruction when assessing population viability. Another factor often ignored in population viability analysis, is the Allee effect that adds to the risk of populations already on the verge of extinction. Understanding the Allee effect on species dynamics and response to habitat destruction has intrinsic value in conservation prioritization. Here, the Allee effect was considered in a multi-species hierarchical competition model. Results showed that species persistence declines dramatically due to the Allee effect, and certain species become more susceptible to habitat destruction than others. Two extinction orders emerged under habitat destruction: either the best competitor becomes extinct first or the best colonizer first. The extinction debt and order, as well as the time lag between habitat destruction and species extinction, were found to be determined by species abundance and the intensity of the Allee effect. Crown Copyright (C) 2009 Published by Elsevier Inc. All rights reserved","Habitat destruction ; Extinction debt ; Allee effect ; Time lag ; Biodiversity","http://hdl.handle.net/10019.1/118325",2010,"ELSEVIER SCIENCE INC","2009 SEP","MATHEMATICAL BIOSCIENCES",221,"1","26","32","10.1016/j.mbs.2009.06.003","0025-5564 and 1879-3134","WOS:000270019400003","STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Chen, Ling-ling et al. (2010) Habitat Destruction and the Extinction Debt Revisited: The Allee Effect. <i>Jour</i>. ","selected",NA,"Article","NEW YORK",NA,NA,NA,"selected"
"ref_041","JOUR","en","Leroux, Anke D. and Martin, Vance L. and Goeschl, Timo.","Optimal conservation, extinction debt, and the augmented quasi-option value","Optimal conversion defines rules that determine the rate at which land is irreversibly moved out of conservation into production. What are the implications on these rules of allowing for a feedback between conversion decisions and the stochasticity of conservation benefits? We address this question using the well-known ecological mechanism of extinction debt as an illustration. This yields a model with a controlled-diffusion process at its core. We solve this model using a real-options approach, which leads to the conventional conversion rule as a special case. Calibrating the model to a specific case (Costa Rica), we demonstrate the presence of an augmented quasi-option value. The size of this value depends on the strength of the feedback. (C) 2009 Elsevier Inc. All rights reserved.","1402 (four-digit-FOR)","http://arrow.latrobe.edu.au:8080/vital/access/HandleResolver/1959.9/173110",2009,"ACADEMIC PRESS INC ELSEVIER SCIENCE","2009 JUL","JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT",58,"1","43","57","10.1016/j.jeem.2008.10.002","0095-0696","WOS:000267608300004","525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Leroux, Anke D. et al. (2009) Optimal Conservation, Extinction Debt, and the Augmented Quasi-Option Value. <i>Jour</i>. ","selected",NA,"Article","SAN DIEGO",NA,NA,NA,"excluded"
"ref_042","JOUR","en","Jamin, Anine and Peintinger, Markus and Gimmi, Urs and Holderegger, Rolf and Bergamini, Ariel","Evidence for a possible extinction debt in Swiss wetland specialist plants","1. Habitat loss leading to smaller patch sizes and decreasing connectivity is a major threat to global biodiversity. While some species vanish immediately after a change in habitat conditions, others show delayed extinction, that is, an extinction debt. In case of an extinction debt, the current species richness is higher than expected under present habitat conditions. 2. We investigated wetlands of the canton of Zürich in the lowlands of Eastern Switzerland where a wetland loss of 90% over the last 150 years occurred. We related current species richness to current and past patch area and connectivity (in 1850, 1900, 1950, and 2000). We compared current with predicted species richness in wetlands with a substantial loss in patch area based on the species‐area relationship of wetlands without substantial loss in patch area and studied relationships between the richness of different species groups and current and historical area and connectivity of wetland patches. 3. We found evidence of a possible extinction debt for long‐lived wetland specialist vascular plants: in wetlands, which substantially lost patch area, current species richness of long‐lived specialist vascular plants was higher than would have been expected based on current patch area. Additionally and besides current wetland area, historical area also explained current species richness of these species in a substantial and significant way. No evidence for an extinction debt in bryophytes was found. 4. The possible unpaid extinction debt in the wetlands of the canton of Zürich is an appeal to nature conservation, which has the possibility to prevent likely future extinctions of species through specific conservation measures. In particular, a further reduction in wetlands must be prevented and restoration measures must be taken to increase the number of wetlands.","bryophytes ; extinction debt ; habitat area ; habitat fragmentation ; nature conservation ; vascular plants ; Ecology ; QH540-549.5","http://hdl.handle.net/20.500.11850/396007",2020,"Wiley","2020 FEB","ECOLOGY AND EVOLUTION",10,"3","1264","1277","10.1002/ece3.5980","2045-7758","WOS:000508506800001","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Jamin, Anine et al. (2020) Evidence for a Possible Extinction Debt in Swiss Wetland Specialist Plants. <i>Jour</i>. ","selected",NA,"Article","HOBOKEN",NA,NA,NA,"selected"
"ref_043","JOUR",NA,"Mark Vellend and Kris Verheyen and Hans Jacquemyn and Annette Kolb and Hans Van Calster and George Peterken and Martin Hermy","EXTINCTION DEBT OF FOREST PLANTS PERSISTS FOR MORE THAN A CENTURY FOLLOWING HABITAT FRAGMENTATION","Abstract ; Following habitat fragmentation individual habitat patches may lose species over time as they pay off their “extinction debt.” Species with relatively low rates of population extinction and colonization (“slow” species) may maintain extinction debts for particularly prolonged periods, but few data are available to test this prediction. We analyzed two unusually detailed data sets on forest plant distributions and land-use history from Lincolnshire, United Kingdom, and Vlaams-Brabant, Belgium, to test for an extinction debt in relation to species-specific extinction and colonization rates. Logistic regression models predicting the presence–absence of 36 plant species were first parameterized using data from Lincolnshire, where forest cover has been relatively low (∼5–8%) for the past 1000 years. Consistent with extinction debt theory, for relatively slow species (but not fast species) these models systematically underpredicted levels of patch occupancy in Vlaams-Brabant, where forest cover was reduced from ∼25% to <10% between 1775 and 1900 (it is presently 6.5%). As a consequence, the ability of the Lincolnshire models to predict patch occupancy in Vlaams-Brabant was worse for slow than for fast species. Thus, more than a century after forest fragmentation reached its current level an extinction debt persists for species with low rates of population turnover.","Environmental Science ; Ecology","https://doi.org/10.6084/M9.FIGSHARE.C.3299021.V1",2016,"ECOLOGICAL SOC AMER","2006 MAR","ECOLOGY",87,"3","542","548","10.1890/05-1182","0012-9658","WOS:000236289600002","1990 M STREET NW, STE 700, WASHINGTON, DC 20036 USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Mark Vellend et al. (2016) Extinction Debt of Forest Plants Persists for more than a Century Following Habitat Fragmentation. <i>Jour</i>. ","selected",NA,"Article","WASHINGTON",NA,NA,NA,"selected"
"ref_044","JOUR","en","Ridding, Lucy E. and Newton, Adrian C. and Keith, Sally A. and Walls, Robin M. and Diaz, Anita and Pywell, Richard F. and Bullock, James M.","Inconsistent detection of extinction debts using different methods","The extinction debt, delayed species extinctions following landscape degradation, is a widely discussed concept. But a consensus about the prevalence of extinctions debts is hindered by a multiplicity of methods and a lack of comparisons among habitats. We applied three contrasting species–area relationship methods to test for plant community extinction debts in three habitats which had different degradation histories over the last century: calcareous grassland, heathland and woodland. These methods differ in their data requirements, with the first two using information on past and current habitat area alongside current species richness, whilst the last method also requires data on past species richness. The most data‐intensive, and hence arguably most reliable method, identified extinction debts across all habitats for specialist species, whilst the other methods did not. All methods detected an extinction debt in calcareous grassland, which had undergone the most severe degradation. We conclude that some methods failed to detect an extinction debt, particularly in habitats that have undergone moderate degradation. Data on past species numbers are required for the most reliable method; as such data are rare, extinction debts may be under‐reported.",NA,"https://eprints.lancs.ac.uk/id/eprint/149352/",2021,"WILEY","2021 JAN","ECOGRAPHY",44,"1","33","43","10.1111/ecog.05344","0906-7590 and 1600-0587","WOS:000576039500001","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Ridding, Lucy E. et al. (2021) Inconsistent Detection of Extinction Debts using Different Methods. <i>Jour</i>. ","selected",NA,"Article","HOBOKEN",NA,NA,NA,"selected"
"ref_045","JOUR","en","Lafuite, Anne-Sophie and Denise, G. and Loreau, Michel","Sustainable Land-use Management Under Biodiversity Lag Effects","The destruction of natural habitats for agricultural production results in local biodiversity loss. Biodiversity loss in turn affects agricultural production indirectly through a range of biodiversity-dependent ecosystem services. Land conversion thus results in a negative externality, mediated by changes in biodiversity. When the consequences of this externality are delayed in time, lack of internalization results in overshoot-and-collapse dynamics, which are undesirable from a sustainability perspective. Here, we emphasize the importance of forward-looking policies for the long-term sustainability of human–nature interactions. We show that the internalization of this externality through a land tax can result in several win-win effects in the long run. First, more biodiversity is preserved at equilibrium, which increases the carrying capacity and total well-being of the human population. Second, a taxation path that maximizes the discounted sum of human utilities prevents or greatly alleviates overshoot-and-collapse crises, thus increasing the sustainability of the system. In particular, this result holds in the case of imperfect information regarding the precise temporal dynamics of biodiversity loss, suggesting that the design of efficient land-use management policies is possible despite incomplete ecological data. This study highlights the need to internalize biodiversity-dependent externalities through economic incentives, especially under uncertainty regarding long-term ecological dynamics. ; Biodiversity; Ecosystem services; Extinction debt; Social-ecological system; Sustainability; Land tax;","Land tax ; Sustainability ; Social-ecological system ; Ecosystem services ; Extinction debt ; Biodiversity ; [SDE.BE]Environmental Sciences/Biodiversity and Ecology","http://www.sciencedirect.com/science/article/pii/S0921800918305585",2018,"HAL CCSD ; Elsevier","2018 DEC","ECOLOGICAL ECONOMICS",154,NA,"272","281","10.1016/j.ecolecon.2018.08.003","0921-8009 and 1873-6106","WOS:000446282700024","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Lafuite, Anne-Sophie et al. (2018) Sustainable Land-Use Management under Biodiversity Lag Effects. <i>Jour</i>. ","selected",NA,"Article","AMSTERDAM",NA,NA,NA,"selected"
"ref_046","JOUR","eng","Dullinger, Stefan and Essl, Franz and Rabitsch, Wolfgang and Erb, Karl-Heinz and Gingrich, Simone and Haberl, Helmut and Hülber, Karl and Jarošík, Vojtech and Krausmann, Fridolin and Kühn, Ingolf and Pergl, Jan and Pyšek, Petr and Hulme, Philip E.","Europe’s other debt crisis caused by the long legacy of future extinctions","Rapid economic development in the past century has translated into severe pressures on species survival as a result of increasing land-use change, environmental pollution, and the spread of invasive alien species. However, though the impact of these pressures on biodiversity is substantial, it could be seriously underestimated if population declines of plants and animals lag behind contemporary environmental degradation. Here, we test for such a delay in impact by relating numbers of threatened species appearing on national red lists to historical and contemporary levels of socioeconomic pressures. Across 22 European countries, the proportions of vascular plants, bryophytes, mammals, reptiles, dragonflies, and grasshoppers facing medium-to-high extinction risks are more closely matched to indicators of socioeconomic pressures (i.e., human population density, per capita gross domestic product, and a measure of land use intensity) from the early or mid-, rather than the late, 20th century. We conclude that, irrespective of recent conservation actions, large-scale risks to biodiversity lag considerably behind contemporary levels of socioeconomic pressures. The negative impact of human activities on current biodiversity will not become fully realized until several decades into the future. Mitigating extinction risks might be an even greater challenge if temporal delays mean many threatened species might already be destined toward extinction.","extinction debt ; socioeconomic history ; time lag ; Animals ; Humans ; Multivariate Analysis ; Species Specificity ; Models ; Biological ; Socioeconomic Factors ; Europe ; Extinction ; Endangered Species ; 069902 Global Change Biology ; 160403 Social and Cultural Geography ; 060311 Speciation and Extinction ; 05 Environmental Sciences","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3645564",2013,"National Academy of Sciences","2013 APR 30","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",110,"18","7342","7347","10.1073/pnas.1216303110","0027-8424","WOS:000318682300054","2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",2,"Dullinger, Stefan et al. (2013) Europe’s Other Debt Crisis Caused by the Long Legacy of Future Extinctions. <i>Jour</i>. ","selected",NA,"Article","WASHINGTON",NA,NA,NA,"selected"
"ref_047","JOUR","en","Kennedy, John Paul and Dangremond, Emily M. and Hayes, Matthew A. and Preziosi, Richard F. and Rowntree, Jennifer K. and Feller, Ilka C.","Hurricanes overcome migration lag and shape intraspecific genetic variation beyond a poleward mangrove range limit","Expansion of many tree species lags behind climate‐change projections. Extreme storms can rapidly overcome this lag, especially for coastal species, but how will storm‐driven expansion shape intraspecific genetic variation? Do storms provide recruits only from the nearest sources, or from more distant sources? Answers to these questions have ecological and evolutionary implications, but empirical evidence is absent from the literature. In 2017, Hurricane Irma provided an opportunity to address this knowledge gap at the northern range limit of the neotropical black mangrove (Avicennia germinans ) on the Atlantic coast of Florida, USA. We observed massive post‐hurricane increases in beach‐stranded A. germinans propagules at, and past, this species’ present‐day range margin when compared to a previously‐surveyed, non‐hurricane year. Yet, propagule dispersal does not guarantee subsequent establishment and reproductive success (i.e., effective dispersal). We also evaluated prior effective dispersal along this coastline with isolated A. germinans trees identified beyond the most northern established population. We used 12 nuclear microsatellite loci to genotype 896 hurricane‐driven drift propagules from nine sites and 10 isolated trees from four sites, determined their sources of origin, and estimated dispersal distances. Almost all drift propagules and all isolated trees came from the nearest sources. This research suggests that hurricanes are a prerequisite for poleward range expansion of a coastal tree species and that storms can shape the expanding gene pool by providing almost exclusively range‐margin genotypes. These insights and empirical estimates of hurricane‐driven dispersal distances should improve our ability to forecast distributional shifts of coastal species.",NA,"https://e-space.mmu.ac.uk/625956/3/OriginalArticle_Kennedy-etal_accepted.pdf",2020,"Wiley","2020 JUL","MOLECULAR ECOLOGY",29,"14","2583","2597","10.1111/mec.15513","0962-1083 and 1365-294X","WOS:000545634100001","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Kennedy, John Paul et al. (2020) Hurricanes Overcome Migration Lag and Shape Intraspecific Genetic Variation Beyond a Poleward Mangrove Range Limit. <i>Jour</i>. ","selected",NA,"Article","HOBOKEN",NA,NA,NA,"excluded"
"ref_048",NA,NA,"Essl, Franz and Dullinger, Stefan and Rabitsch, Wolfgang and Hulme, Philip E. and Pysek, Petr and Wilson, John R. U. and Richardson, David M.","Historical legacies accumulate to shape future biodiversity in an era of rapid global change","AimBiodiversity responses to changing environmental forcing on species are often characterized by considerable time-lags (=relaxation times). Although changes to the occurrence and abundance of species likely have cascading effects (e.g. on species of other trophic levels, genes, community structure and ecosystem processes), current concepts addressing lagged biodiversity responses are limited to single drivers affecting a few biodiversity components (e.g. extinction debt in terms of species numbers or population size). Little attention has been paid to the interacting and cumulative nature of time-lag phenomena. Here, we synthesize current knowledge, mechanisms and implications of delayed biodiversity responses and propose a cumulative biodiversity lags-framework' which aims to integrate lagged responses of various components of biological organization.LocationGlobal.ResultsEffects of change in environmental forcing are transmitted along a series of linked cause-effect relationships which act on different biodiversity components (e.g. individuals, populations, species, communities). We show that lagged responses to environmental forcing are caused by different mechanisms (e.g. metapopulation dynamics, dispersal limitation, successional dynamics), which operate sequentially on these intermediary links. Lags manifest themselves on the respective biodiversity component which changes over time; the full relaxation time of a focal system will therefore depend on the aggregate length of different lags. We elucidate key mechanisms and circumstances which are likely to cause cumulative lagged responses, and propose research avenues to improve understanding of cumulative biodiversity lags.Main conclusionsThe failure to give adequate consideration to widespread cumulative time-lags often masks the full extent of biodiversity changes that have already been triggered. Effects that are particularly relevant for human livelihoods (e.g. changes in the provision of ecosystem services) may emerge with the most pronounced delay. Accordingly, the consideration of appropriate temporal scales should become a key topic in future work at the science-policy interface.",NA,NA,2015,"WILEY","2015 MAY","DIVERSITY AND DISTRIBUTIONS",21,"5","534","547","10.1111/ddi.12312","1366-9516 and 1472-4642","WOS:000352586400005","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Essl, Franz et al. (2015) Historical Legacies Accumulate to Shape Future Biodiversity in an Era of Rapid Global Change.","selected",NA,"Article","HOBOKEN","﻿TY  - JOUR",NA,NA,"selected"
"ref_049","JOUR",NA,"Brunet, Jorg and Hedwall, Per-Ola and Lindgren, Jessica and Cousins, Sara A. O.","Immigration credit of temperate forest herbs in fragmented landscapes-Implications for restoration of habitat connectivity","In many agricultural landscapes, it is important to restore networks of forests to provide habitat and stepping stones for forest specialist taxa. More knowledge is, however, needed on how to facilitate the immigration of such taxa in restored forest patches. Here, we present the first chronosequence study to quantify the dynamics of immigration credits of forest specialist plants in post-arable forest patches. We studied the distribution of herbaceous forest specialist plant species in 54 post-arable broadleaved forest patches along gradients of age (20-140 years since forest establishment), distance from ancient forest (0-2,600 m) and patch area (0.5-9.6 ha). With linear mixed models, we estimated the effects of these factors on species richness, patch means of four dispersal-related plant traits and with generalized linear models on the occurrence of 20 individual species. Post-arable forest patch age and spatial isolation from ancient forest, but not patch size, were important predictors for species richness of forest specialists, suggesting that also small patches are valuable for habitat connectivity. Compared to species richness in ancient forest stands, the immigration credit was reduced by more than 90% after 80 years in post-arable forest patches contiguous to ancient forest compared to 40% after 80 years and 60% after 140 years in isolated patches (at least 100 m to next forest). Tall-growing species with adaptations to long-distance dispersal were faster colonizers, whereas species with heavy diaspores and clonal growth were slower to colonize. Synthesis and applications. We show that post-arable oak plantations have a high potential for restoration of forest herb vegetation. Dispersal-related plant traits play a key role in explaining interspecific differences among forest specialists. To facilitate forest herb immigration across all functional groups in agricultural landscapes, we suggest to create clusters of relatively small new forest patches nearby older forest with source populations.",NA,NA,2021,"WILEY","2021 OCT","JOURNAL OF APPLIED ECOLOGY",58,"10","2195","2206","10.1111/1365-2664.13975","0021-8901 and 1365-2664","WOS:000687463700001","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"lit_data/01_final_lit_search/lit_search_webofscience.ris",1,"Brunet, Jorg et al. (2021) Immigration Credit of Temperate Forest Herbs in Fragmented Landscapes-Implications for Restoration of Habitat Connectivity. <i>Jour</i>. ","selected",NA,"Article","HOBOKEN",NA,NA,NA,"excluded"
